Section,Figure,Figure Item,Part Number,Type,Specifics
Electrical Power,Alternator Mounting And Attaching Parts,3,LW-31-0.94,BOLT," 5/16-18 x 15/16 long, hex. head"
Electrical Power,Alternator Mounting And Attaching Parts,4,LW-10729,LINK," Alternator, adjusting"
Electrical Power,Alternator Mounting And Attaching Parts,,75380,LINK," Alternator, adjusting"
Electrical Power,Alternator Mounting And Attaching Parts,5,STD-35,WASHER, 5/16 plain
Electrical Power,Alternator Mounting And Attaching Parts,6,LW-31H0.88,BOLT," 5/16-18 x 7/8 long, hex. head, drilled"
Electrical Power,Alternator Mounting And Attaching Parts,,LW-31H0.75,BOLT," 5/16-18 x 3/4 long, hex. head, drilled"
Electrical Power,Alternator Mounting And Attaching Parts,7,STD-1727,WASHER," Plain, 11/32 I.D. x 3/4 O.D."
Electrical Power,Alternator Mounting And Attaching Parts,8,LW-31H0.75,BOLT," 5/16-18 x 3/4 long, hex. head, drilled"
Electrical Power,Alternator Mounting And Attaching Parts,9,76908,STRUT, Alternator support
Electrical Power,Alternator Mounting And Attaching Parts,,07F23268,STRUT, Alternator support
Electrical Power,Alternator Mounting And Attaching Parts,10,LW-31H0.88,BOLT," 5/16-18 x 7/8 long, hex. head, drilled"
Electrical Power,Alternator Mounting And Attaching Parts,,LW-31H0.75,BOLT," 5/16-18 x 3/4 long, hex. head, drilled"
Electrical Power,Alternator Mounting And Attaching Parts,11,STD-690,WASHER, 13/16 O.D. x 3/8 I.D. x 1/16 thick
Electrical Power,Alternator Mounting And Attaching Parts,12,AN6-14,BOLT," 3/8-24 x 1-19/32 long, drilled"
Electrical Power,Alternator Mounting And Attaching Parts,13,STD-690,WASHER, 13/16 O.D. x 3/8 I.D. x 1/16 thick
Electrical Power,Alternator Mounting And Attaching Parts,14,STD-872,NUT, 3/8-24 slotted
Electrical Power,Alternator Mounting And Attaching Parts,15,STD-713,COTTER PIN, 3/32 diameter x 3/4 long
Electrical Power,Alternator Mounting And Attaching Parts,16,AN6-16,BOLT," 3/8-24 x 1-27/32 long, hex. head"
Electrical Power,Alternator Mounting And Attaching Parts,17,76534,SHIM, 1-1/8 O.D. x 13/32 I.D. x .005 thick
Electrical Power,Alternator Mounting And Attaching Parts,18,STD-690,WASHER, 13/16 O.D. x 3/8 I.D. x 1/16 thick
Electrical Power,Alternator Mounting And Attaching Parts,19,STD-872,NUT, 3/8-24 slotted
Lubrication System,Oil Sump Assembly And Oil Suction Screen,1,LW-13353,GASKET, Oil sump
Lubrication System,Oil Sump Assembly And Oil Suction Screen,2,LW-10828,SUMP ASSEMBLY, Oil
Lubrication System,Oil Sump Assembly And Oil Suction Screen,3,78914,CONNECTION, Intake pipe
Lubrication System,Oil Sump Assembly And Oil Suction Screen,4,61400,STUD, 1/4-20 x 1-3/16 long
Lubrication System,Oil Sump Assembly And Oil Suction Screen,5,31C-15,STUD, 5/16-18 x 1-7/8 long
Lubrication System,Oil Sump Assembly And Oil Suction Screen,6,STD-91,PLUG," 1/2-14 NPT, allen head"
Lubrication System,Oil Sump Assembly And Oil Suction Screen,7,STD-551,PLUG," 1/2-14 NPT, square head, drilled"
Lubrication System,Oil Sump Assembly And Oil Suction Screen,8,STD-8,WASHER, 1/4 plain
Lubrication System,Oil Sump Assembly And Oil Suction Screen,9,STD-160,WASHER," 1/4 lock, internal teeth"
Lubrication System,Oil Sump Assembly And Oil Suction Screen,10,LW-25-0.94,BOLT," 1/4-20 x 15/16 long, hex. head"
Lubrication System,Oil Sump Assembly And Oil Suction Screen,11,LW-25-1.13,BOLT," 1/4-20 x 1-1/8 long, hex. head"
Lubrication System,Oil Sump Assembly And Oil Suction Screen,12,STD-1411,NUT, 1/4-20 plain
Lubrication System,Oil Sump Assembly And Oil Suction Screen,13,70484,SCREEN, Oil suction
Lubrication System,Oil Sump Assembly And Oil Suction Screen,14,06E19769-1.00,GASKET," Annular, 1.00 I.D."
Lubrication System,Oil Level Gage,1,56C23075,TUBE," Oil level gage, 15-1/8 long"
Lubrication System,Oil Level Gage,,75736,TUBE," Oil level gage, 11-9/16 long"
Lubrication System,Oil Level Gage,2,72059,GASKET, Oil level gage
Lubrication System,Oil Level Gage,3,74065,RING, Oil level gage seal
Lubrication System,Oil Level Gage,,74068,RING, Oil level gage plug
Lubrication System,Oil Level Gage,4,LW-14768,GAGE ASSEMBLY, Oil level
Lubrication System,Oil Level Gage,,LW-16783-18,GAGE ASSEMBLY, Oil level
